Week	Region	Plant	Area	Brand	Type	Opening Stock (Pac)	End Stock (Pac)	FC (Pac)	SP (Pac)	SV (Pac)	Opening Stock (TH Stick)	End Stock (TH Stick)	FC (TH Stick)	SP (TH Stick)	SV (TH Stick)
1	JV4	ZD7B	 Surabaya	ARB12	BV1	63004	63004	16516.63253	0	14887	756.048	756.048	198.1995904	0	178.644
1	JV4	ZD7B	 Surabaya	ARK12	BV1	1580	1580	336.7907254	0	1280	18.96	18.96	4.041488705	0	15.36
1	JV4	ZD7B	 Surabaya	ARL16	BV1	0	0	0	0	0	0	0	0	0	0
1	JV4	ZD7B	 Surabaya	ARM12	BV1	58909	58909	15648.73309	0	26032	706.908	706.908	187.7847971	0	312.384
1	JV4	ZD7B	 Surabaya	AUL12	HMS	13	13	33.71872906	0	0	0.156	0.156	0.404624749	0	0
1	JV4	ZD7B	 Surabaya	AUL16	HMS	1934	1934	0	0	48	30.944	30.944	0	0	0.768
1	JV4	ZD7B	 Surabaya	AVM20	HMS	5822	5822	1454.062116	0	1953	116.44	116.44	29.08124232	0	39.06
1	JV4	ZD7B	 Surabaya	AVR20	HMS	29126	29126	7722.421967	0	8910	582.52	582.52	154.4484393	0	178.2
1	JV4	ZD7B	 Surabaya	BAJ12	BV1	248	248	21.84920922	0	0	2.976	2.976	0.262190511	0	0
1	JV4	ZD7B	 Surabaya	BRW12	BV1	0	0	0	0	0	0	0	0	0	0
1	JV4	ZD7B	 Surabaya	DLE12	HMS	0	0	0	0	0	0	0	0	0	0
1	JV4	ZD7B	 Surabaya	DRE12	HMS	101960	101960	30537.18272	0	19310	1223.52	1223.52	366.4461927	0	231.72
1	JV4	ZD7B	 Surabaya	DSB12	HMS	519993	583193	227377.3465	0	73407	6239.916	6998.316	2728.528158	0	880.884
1	JV4	ZD7B	 Surabaya	DSB16	HMS	71567	71567	21905.36282	0	26253	1145.072	1145.072	350.4858051	0	420.048
1	JV4	ZD7B	 Surabaya	DSE12	HMS	10609	10609	3268.736018	0	3688	127.308	127.308	39.22483222	0	44.256
1	JV4	ZD7B	 Surabaya	DSM12	HMS	49821	185021	68612.33022	0	59482	597.852	2220.252	823.3479626	0	713.784
1	JV4	ZD7B	 Surabaya	DSS12	HMS	926423	926423	279028.5367	0	309088	11117.076	11117.076	3348.342441	0	3709.056
1	JV4	ZD7B	 Surabaya	DSS16	HMS	101830	101830	22946.89155	0	3566	1629.28	1629.28	367.1502648	0	57.056
1	JV4	ZD7B	 Surabaya	DTS12	HMS	0	0	0	0	0	0	0	0	0	0
1	JV4	ZD7B	 Surabaya	GLP16	BV1	19	19	230.3364506	0	0	0.304	0.304	3.68538321	0	0
1	JV4	ZD7B	 Surabaya	GLY16	BV1	0	0	0	0	0	0	0	0	0	0
1	JV4	ZD7B	 Surabaya	KPT12	BV1	3674	3674	14118.1981	0	113	44.088	44.088	169.4183772	0	1.356
1	JV4	ZD7B	 Surabaya	LOK12	BV1	0	0	0	0	0	0	0	0	0	0
1	JV4	ZD7B	 Surabaya	MBC12	HMS	75763	75763	24110.82053	0	28993	909.156	909.156	289.3298463	0	347.916
1	JV4	ZD7B	 Surabaya	MBG20	HMS	33425	33425	0	0	0	668.5	668.5	0	0	0
